LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID6023259,6023259,0,344.0542297363281,502.31902640853565,280.1627910685223,268.40069926468027,2.0,2,7.5,1,,681.7592303692147,589.0,384.0,1879.0,1311023.0,236.80354428663486,5207.268330733229,5133.0,2749.0,8918.0,1.0013577E7,881.5619585452173,0.12669087892142705,0.6474606732920583,0.01846216388232306,0.2141533213133367
ID6023706,6023706,0,223.3650360107422,534.8742977372217,264.63970162368975,288.0180000011334,8.0,8,7.5,1,,626.3130525221009,572.0,398.0,1435.0,1204400.0,158.1577137068732,5263.693187727509,5242.0,2588.0,7960.0,1.0122082E7,909.9651435219663,0.08617086468912893,0.6283380816324947,0.024943064853590397,0.28154374330215864
ID6022458,6022458,0,338.416748046875,536.8846292954534,240.55604006910164,281.97503982078433,13.0,13,7.5,1,,674.00624024961,603.0,406.0,1620.0,1296114.0,200.00185473270747,5187.221528861154,5164.0,2465.0,8844.0,9975027.0,851.6392052477614,0.10344185022708917,0.6318394212042304,-0.006896138239196502,-0.08459027432347192
ID6020793,6020793,0,376.9306945800781,507.262038944776,277.9333656153194,270.5229538927671,3.0,3,7.5,1,,684.7129485179407,590.0,407.0,2012.0,1316703.0,245.6895344113,5118.704628185127,5036.0,2740.0,8920.0,9843269.0,856.6079591905508,0.1290262684385576,0.6369802543113561,-0.002691685387650883,-0.03225542859481924
ID6022015,6022015,0,339.5732727050781,505.92985403837207,292.2516655889671,263.662858848048,0.0,0,7.5,1,,697.0982839313573,564.0,394.0,2262.0,1340520.0,314.8787276460648,4898.397815912636,4768.0,1891.0,14132.0,9419619.0,1206.7795213062477,0.13715083436872416,0.5340243586069315,-0.005407947366610756,-0.04414114437660824
ID6025310,6025310,0,369.07470703125,517.8331117307586,278.84728185891623,271.03430425386324,4.0,4,7.5,1,,689.2620904836193,588.0,391.0,1896.0,1325451.0,254.4904377098323,5231.7436297451895,5141.0,2451.0,8696.0,1.0060643E7,924.3377471836837,0.13357126012199008,0.6382739450689344,0.007332640350897592,0.0824011435895457
ID6024798,6024798,0,350.0948791503906,539.6761175115432,236.74151652045094,290.286026793699,15.0,15,7.5,1,,723.625585023401,566.0,331.0,2585.0,1391532.0,359.6077398303581,5103.016120644826,4972.0,2023.0,15410.0,9813100.0,1381.6212453523128,0.1456293666875417,0.5115872379847781,-0.018971693424187176,-0.1428540286330736
