LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID7871096,7871096,0,36.08879089355469,293.96222218227894,468.09306187274694,11.814133586798354,6.0,6,7.5,1,,536.6827873114925,533.0,390.0,825.0,1032041.0,47.857795880776756,12818.767550702029,12820.0,10653.0,14994.0,2.465049E7,595.0913811092647,0.0101673498316417,0.2257404615543627,-0.0011657888008883444,-0.05028275649660183
ID7946428,7946428,0,25.71319007873535,293.9439899112708,468.10241640612344,12.160748024413834,13.0,13,7.5,1,,534.5741029641185,530.0,404.0,818.0,1027986.0,47.42966856418058,12999.744149765991,12990.0,11194.0,14989.0,2.4998508E7,590.8620239826312,0.007471807185802971,0.16717855843771048,-2.0633353812585088E-4,-0.00908109391180881
ID8024956,8024956,0,26.208189010620117,293.54898938735835,468.2513608321591,10.804277713660197,10.0,10,7.5,1,,537.5720228809153,534.0,397.0,769.0,1033751.0,47.49648530088347,12955.6245449818,12958.0,11164.0,15040.0,2.4913666E7,603.2293103751424,0.009479800288382825,0.21257233139310727,-2.5642603715469656E-4,-0.011017407511431956
ID8751628,8751628,0,23.02061653137207,294.2915834805839,468.06292299462694,10.323630415471522,25.0,25,7.5,1,,534.1882475299012,529.0,401.0,793.0,1027244.0,47.31648846152847,12872.937077483099,12856.0,10972.0,15253.0,2.4754658E7,609.3785499691681,0.008897321209251989,0.19912423437597507,-5.632239972306719E-4,-0.02380928225310322
ID8487439,8487439,0,26.947397232055664,294.0370549733038,467.5235917694186,10.148871014913247,27.0,27,7.5,1,,534.9947997919917,531.0,413.0,832.0,1028795.0,46.84748400440673,12845.236609464378,12825.0,11068.0,14965.0,2.470139E7,594.0721529099012,0.009473797249333681,0.21434942373830207,4.921938179197834E-4,0.02127430390119138
ID8337392,8337392,0,29.365604400634766,293.74620798454714,468.3546211747606,12.228936724042969,9.0,9,7.5,1,,534.1352054082163,531.0,396.0,812.0,1027142.0,46.754906182453276,12925.085283411336,12903.0,11166.0,15187.0,2.4854939E7,602.6651690104183,0.008882704644719104,0.20116784071506627,-0.0014834335971363687,-0.06372357859948137
ID8692043,8692043,0,30.959096908569336,293.9604511948729,467.3844404246406,10.365352559794811,17.0,17,7.5,1,,536.7498699947998,535.0,397.0,819.0,1032170.0,47.14026211104214,12818.771190847634,12806.0,10879.0,15099.0,2.4650497E7,608.1940314383203,0.011089764948182809,0.24977132497771626,-0.003945401536947972,-0.1669714820773518
