LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(frame),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID15178022,15178022,0,244.0324249267578,243.40010609398965,641.2024203668765,222.43804632685038,13.0,13,7.5,1,,641.5600624024961,576.0,385.0,1557.0,1233720.0,173.90254039272378,0.10049017203029338,0.6737500518473999
ID15091428,15091428,0,242.6026153564453,233.3171001029873,640.6818687837402,226.2641107461372,10.0,10,7.5,1,,646.7202288091523,581.0,398.0,1468.0,1243643.0,178.20176962870747,0.10502174411662535,0.689831197145907
ID15525230,15525230,0,244.59860229492188,225.3179403419751,647.1946502536795,249.43986802546033,2.0,2,7.5,1,,636.678107124285,572.0,374.0,1684.0,1224332.0,175.7358688562428,0.08992406895906747,0.5978183008874969
ID16058225,16058225,0,283.8833923339844,228.07233607441464,642.8774672850413,251.8954934976053,3.0,3,7.5,1,,659.8252730109205,566.0,400.0,1933.0,1268844.0,231.6541064210013,0.11266452044006012,0.5768220732765504
ID15382445,15382445,0,251.13975524902344,242.45747081084747,642.4718053682872,225.45385694159324,11.0,11,7.5,1,,649.2932917316692,571.0,415.0,1554.0,1248591.0,197.6686395015271,0.10756406539526421,0.6380158821495054
ID15826234,15826234,0,214.4375762939453,237.29570174259962,647.4569462404303,245.18287564999162,7.0,7,7.5,1,,640.4061362454498,563.0,411.0,1953.0,1231501.0,198.43970690772403,0.09989267639492891,0.5861924792671016
ID15331684,15331684,0,218.26007080078125,277.81773972957046,620.5131425909002,219.11814722391534,25.0,25,7.5,1,,633.0052002080083,576.0,400.0,1418.0,1217269.0,163.28498217774228,0.0930623372285717,0.6601156899048526
ID15218726,15218726,0,254.020751953125,234.48629498158368,644.1462565054526,255.55245104468426,5.0,5,7.5,1,,645.6287051482059,571.0,417.0,1527.0,1241544.0,187.8256975537103,0.10352163141298953,0.6449233084707211
ID15614335,15614335,0,251.53428649902344,254.24111149517563,637.279006138178,216.64224548719523,18.0,18,7.5,1,,648.0270410816432,579.0,390.0,1429.0,1246156.0,184.5686404438981,0.10749459140623595,0.6815695984923994
ID15296250,15296250,0,266.90631103515625,234.12987620017626,645.1748473220676,239.09175707346824,8.0,8,7.5,1,,658.2007280291211,565.0,411.0,2056.0,1265720.0,227.6549620536498,0.11348237246750298,0.5893269388598703
ID15408248,15408248,0,246.63516235351562,272.3840801736136,614.2064202681627,215.3769453067216,28.0,28,7.5,1,,646.2116484659387,572.0,370.0,1554.0,1242665.0,184.8214044411004,0.10394410570817525,0.6584234559136288
ID15783973,15783973,0,241.03330993652344,259.35981842589786,627.6461244605682,217.93089192594812,20.0,20,7.5,1,,646.6708268330733,574.0,400.0,1598.0,1243548.0,184.97131233176782,0.10388888667225663,0.6580404914268527
ID14958450,14958450,0,243.7865753173828,245.58584610697417,641.0154282687262,224.3121282587056,17.0,17,7.5,1,,641.3941757670307,568.0,419.0,1622.0,1233401.0,187.6652531774056,0.10184688931586854,0.6318262389500576
ID15092990,15092990,0,227.94000244140625,255.03528602418652,632.168822382994,217.03370252016322,19.0,19,7.5,1,,641.9838793551742,580.0,423.0,1579.0,1234535.0,171.26338482712924,0.09999891609429855,0.6815420100003173
ID15446516,15446516,0,232.4839630126953,276.6550459526023,621.7750237650681,218.24287626125346,24.0,24,7.5,1,,638.6328653146126,570.0,410.0,1711.0,1228091.0,189.8871300692262,0.10038563518503142,0.6136382015257326
ID15562254,15562254,0,266.7489318847656,230.25191543352915,640.3423811779809,233.51729981807063,9.0,9,7.5,1,,655.0899635985439,561.0,409.0,1935.0,1259738.0,233.74058371780814,0.1117143175400791,0.5632645967567774
ID15897750,15897750,0,242.79698181152344,271.16309283302377,625.1651780800231,218.84230919588651,22.0,22,7.5,1,,633.5288611544462,571.0,393.0,1653.0,1218276.0,170.07745855502387,0.09680173025414154,0.6575134417291796
ID15753629,15753629,0,236.7534942626953,236.83432186094527,644.1634286584253,254.7676126770138,6.0,6,7.5,1,,645.00624024961,569.0,406.0,1582.0,1240347.0,190.89393179787447,0.10320498728229989,0.6321880132672233
ID16019098,16019098,0,226.99935913085938,217.82907160860927,650.5592236685744,251.38135706768395,1.0,1,7.5,1,,638.3723348933958,590.0,385.0,1428.0,1227590.0,157.01147483569903,0.07931275352609807,0.5975419213766143
ID15864733,15864733,0,246.70103454589844,233.08292164244676,643.4075803925431,254.250792087631,4.0,4,7.5,1,,642.6203848153926,581.0,401.0,1504.0,1235759.0,177.13290788452352,0.10136796623034112,0.667810946906675
ID15673024,15673024,0,250.63890075683594,263.4767867078273,624.0456994130568,219.11719418929036,21.0,21,7.5,1,,638.1118044721788,578.0,394.0,1334.0,1227089.0,165.66107748083607,0.09930272507851848,0.6959053170719628
ID15712733,15712733,0,229.3195343017578,243.5969515117945,642.7684583854515,224.82372459734307,16.0,16,7.5,1,,636.158086323453,566.0,375.0,1681.0,1223332.0,184.78256190186474,0.09943597425580618,0.6227412779017432
ID15936775,15936775,0,241.30831909179688,275.61149977776256,621.2708471199898,218.90117589686784,26.0,26,7.5,1,,643.4804992199688,572.0,407.0,1766.0,1237413.0,190.18670111038563,0.10269041611916803,0.6301755571528628
ID15138961,15138961,0,237.41880798339844,274.21453901591997,620.9531005043383,219.63923991035324,27.0,27,7.5,1,,639.2927717108685,572.0,403.0,1429.0,1229360.0,179.50050966673462,0.10075857902909957,0.6520097030767753
