LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID16425209,16425209,0,430.40093994140625,102.26613946354199,333.1385431804819,91.33853640202281,8.0,8,7.5,1,,739.9838793551742,596.0,402.0,2367.0,1422989.0,329.97236861289167,13840.768070722828,13480.0,5245.0,30454.0,2.6615797E7,3253.6095481576144,0.1689653130054523,0.6482919260504034,0.004198832014569637,0.03557406882769562
ID17090368,17090368,0,456.0418395996094,93.70588806741313,285.76603087931306,92.57175299319876,16.0,16,7.5,1,,732.7228289131565,622.0,396.0,2254.0,1409026.0,290.37577224893033,14060.507020280811,13985.0,7942.0,21519.0,2.7038355E7,1921.1013288313209,0.16485545937127194,0.7142341887243197,0.0019014345756356184,0.027780310352709444
ID16662197,16662197,0,524.0368041992188,91.1965224437065,274.76416787274655,78.10857825535817,20.0,20,7.5,1,,764.891835673427,584.0,401.0,3379.0,1470887.0,417.9483544698658,13854.567342693708,13725.0,5980.0,35272.0,2.6642333E7,3334.728181384449,0.18392517529811248,0.5686228717651257,-0.0032159891886081337,-0.026808717669770252
ID16852303,16852303,0,446.42657470703125,93.27977356759966,282.5692168910365,92.14198083798672,17.0,17,7.5,1,,730.6573062922517,599.0,387.0,2471.0,1405054.0,321.53280230448746,14107.397295891835,14064.0,7605.0,24108.0,2.7128525E7,2229.948051273093,0.16550483443353908,0.6453793218124285,0.0026334251903279236,0.03323234239585308
ID16087034,16087034,0,483.6873474121094,89.49670060213101,301.6296652964053,97.87225101032803,13.0,13,7.5,1,,750.4128965158607,616.0,391.0,2092.0,1443044.0,321.09769306434094,13931.464898595943,13786.0,6831.0,28693.0,2.6790207E7,2629.5694864104453,0.1766769796701962,0.7018039507144551,-6.912869338474298E-4,-0.007329946475548156
ID16351977,16351977,0,489.8727722167969,100.26034000971835,338.11811048663134,83.37687860852698,5.0,5,7.5,1,,787.3166926677067,565.0,402.0,3567.0,1514010.0,496.40943779759994,13595.620904836194,13383.0,4481.0,44215.0,2.6144379E7,4973.86485853063,0.1969103285249989,0.5218507445492823,-0.003576961887625468,-0.01962481689850335
ID16805968,16805968,0,482.1328125,100.229857846814,271.56040184479565,69.72055104381008,22.0,22,7.5,1,,738.7472698907957,608.0,406.0,2401.0,1420611.0,316.0845633413772,13948.166926677068,13821.0,6827.0,24057.0,2.6822325E7,2401.31219194689,0.16830655415140433,0.6733902335197449,0.002045701970684349,0.023716649752025868
