LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID4331074,4331074,0,283.6839294433594,345.925,504.845,300.0,420.0,7,7.5,1,,654.1762870514821,572.0,374.0,1683.0,1257981.0,207.97881860889808,12518.973478939157,12420.0,7184.0,21529.0,2.4073986E7,1787.7446004170163,0.14261105505372534,0.7851641421007894,0.028298259048305716,0.3854196542007362
ID4369250,4369250,0,146.3736114501953,374.01000000000005,501.42,300.0,60.0,1,7.5,1,,559.8710348413937,540.0,366.0,1086.0,1076632.0,95.72348426848994,12036.44357774311,12090.0,6768.0,17777.0,2.3146081E7,1717.0890494254227,0.07206126273238546,0.7862882057932501,0.03462314182448654,0.46915856362621744
ID3866587,3866587,0,245.9114990234375,362.365,516.49,300.0,720.0,12,7.5,1,,652.516900676027,578.0,382.0,1404.0,1254790.0,188.00118476712828,12647.466458658346,12697.0,7067.0,18871.0,2.4321078E7,1474.3715200305874,0.14083108735426247,0.8569162125571417,0.031183336356624694,0.5188159172194886
ID3708058,3708058,0,252.5134735107422,365.105,511.01000000000005,300.0,300.0,5,7.5,1,,611.9677587103484,565.0,344.0,1339.0,1176814.0,145.94955866256717,12538.378055122204,12575.0,8344.0,17489.0,2.4111301E7,1468.1250875564929,0.11328924387125375,0.853368124439319,0.034667384461601954,0.5723064147763764
ID4058335,4058335,0,191.1986846923828,338.39000000000004,519.9150000000001,300.0,1080.0,18,7.5,1,,580.1570462818513,551.0,369.0,1262.0,1115642.0,115.32025842918588,12460.904316172648,12563.0,7120.0,16792.0,2.3962319E7,1528.421179850194,0.08564451589901012,0.7937465963844503,0.02648669581425806,0.42073725451653327
ID3750970,3750970,0,216.27650451660156,335.65000000000003,519.23,300.0,1200.0,20,7.5,1,,614.3588143525741,560.0,339.0,1425.0,1181412.0,153.54427078058123,12654.486219448778,12688.0,7422.0,17659.0,2.4334577E7,1389.0184659850509,0.10501789061716865,0.7605231781934789,0.03011852077891722,0.5327370927262661
ID4448263,4448263,0,206.5673065185547,352.09000000000003,508.27000000000004,300.0,360.0,6,7.5,1,,589.5834633385335,549.0,367.0,1439.0,1133769.0,135.6489956769512,12563.620384815393,12652.0,7218.0,18125.0,2.4159842E7,1663.718695405159,0.09666739384060655,0.7662381759562471,0.03215137622245792,0.4704582359207745
