LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID196611,196611,0,181.67759704589844,233.40361243671944,521.2150477022063,68.23093192556162,1080.0,18,7.5,1,,607.0114404576183,552.0,388.0,1428.0,1167283.0,154.49702176343746,14812.183567342694,14781.0,6490.0,28885.0,2.8483829E7,3305.6314701335878,0.07543659745160525,0.5511934396841754,-0.006573017453975684,-0.05929573826696383
ID761802,761802,0,201.39149475097656,233.50364559143637,521.2693649338472,69.27227940871933,600.0,10,7.5,1,,606.9984399375975,555.0,383.0,1450.0,1167258.0,150.97809620426742,14861.388975559023,14771.0,7270.0,27548.0,2.8578451E7,2943.237991857782,0.07595123467593949,0.5676045599630034,-0.0012189376489333654,-0.01232466740490383
ID421956,421956,0,198.64971923828125,232.4381671500505,520.7514277567843,66.38574841525792,960.0,16,7.5,1,,603.4544981799272,550.0,400.0,1242.0,1160443.0,147.96396678762375,14929.857514300573,14794.0,7381.0,31778.0,2.8710116E7,3101.4823127657855,0.07534503208932593,0.5715119922528209,-0.0019579001576513527,-0.01888678471407508
ID496835,496835,0,179.42373657226562,233.26381345523188,522.2055719461974,67.79398283868503,1320.0,22,7.5,1,,606.0878835153406,556.0,374.0,1402.0,1165507.0,148.75353448119554,14867.603224128965,14750.0,5286.0,29055.0,2.8590401E7,2928.486744200377,0.07556201407257063,0.5724879813052143,-0.002714236208681474,-0.0276347611847601
ID887947,887947,0,200.72056579589844,234.03210366266458,521.9998656406735,75.85225216214323,300.0,5,7.5,1,,609.7093083723349,555.0,409.0,1337.0,1172471.0,155.7907233485592,14916.971398855954,14639.0,5613.0,29371.0,2.8685336E7,3221.604324273612,0.07828442307984468,0.5682680657551048,-2.5714342672691773E-4,-0.00238191122213814
ID123462,123462,0,193.72190856933594,233.5965960448608,521.2036054857773,69.67081804338999,540.0,9,7.5,1,,606.9282371294852,554.0,400.0,1459.0,1167123.0,149.26142152140642,14865.829953198128,14719.0,6734.0,27376.0,2.8586991E7,3068.047259440032,0.0753192134711427,0.5696238123792539,-0.0031087713243285503,-0.030220254244857126
ID656196,656196,0,198.185302734375,233.62981973080127,522.0369231388794,71.34235798405805,420.0,7,7.5,1,,607.848153926157,555.0,388.0,1479.0,1168892.0,156.234594513715,14820.954758190328,14688.0,6445.0,32151.0,2.8500696E7,3424.8077378352646,0.07703018866291092,0.5565202584208324,-0.004010097879587633,-0.034847370992635074
