LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID12970693,12970693,0,159.6367950439453,84.79289181911024,109.68202887521642,147.3016094850156,3.0,3,7.5,1,,586.7145085803432,552.0,414.0,1103.0,1128252.0,111.8154656968173,20448.00520020801,20456.0,10496.0,33035.0,3.9321514E7,3194.4676179444587,0.06676950643363826,0.6568444270955768,4.458839307160098E-4,0.005705722841584806
ID13496972,13496972,0,161.0193634033203,88.22447806666194,107.84569373785656,142.1780295169048,2.0,2,7.5,1,,588.4336973478939,544.0,394.0,1169.0,1131558.0,130.24457162300104,20404.426417056682,20281.0,12778.0,33192.0,3.9237712E7,3094.3065311317455,0.06953101587914376,0.5874258992495341,0.0021002839494045117,0.027641262854812092
ID12897408,12897408,0,155.65464782714844,88.30336999495053,110.93461730130916,145.29773772414484,13.0,13,7.5,1,,588.826833073323,554.0,397.0,1202.0,1132314.0,111.17576931758855,21190.24180967239,20876.0,12905.0,34007.0,4.0748835E7,3438.4501185523072,0.06943949142385225,0.6877930120493516,0.007333278653714291,0.08972804099010544
ID13688725,13688725,0,155.24838256835938,83.9578262171226,111.83322835301894,144.14555189922095,25.0,25,7.5,1,,588.0899635985439,546.0,395.0,1470.0,1130897.0,128.93023272151527,21060.16328653146,20764.0,12309.0,33822.0,4.0498694E7,3471.4886447125814,0.06995844949528061,0.5964750189789501,0.004195946743082577,0.05069760973760378
ID13763609,13763609,0,173.23727416992188,89.24803164888513,107.98444397579487,140.82245004915745,1.0,1,7.5,1,,588.130005200208,547.0,407.0,1257.0,1130974.0,126.38870122542816,20104.06968278731,19788.0,12839.0,32294.0,3.8660126E7,3271.6162148015455,0.0700454050687321,0.6092177188355192,0.0030249553850908986,0.037064560928256655
ID13385031,13385031,0,165.3361053466797,89.63267185191125,112.96687918848899,143.04205219546793,16.0,16,7.5,1,,592.8757150286011,557.0,406.0,1173.0,1140100.0,117.07680291766316,20905.53042121685,20748.0,14340.0,31204.0,4.0201335E7,2710.051738063584,0.07236094758674579,0.6834174416540437,0.001580734089689666,0.02434929894997547
ID12790351,12790351,0,151.347412109375,85.9434042127642,111.44864718468845,142.16304139227208,26.0,26,7.5,1,,589.9880395215808,548.0,394.0,1483.0,1134547.0,131.35452326810508,21077.632345293812,20623.0,13829.0,37118.0,4.0532287E7,3807.667220128961,0.07016315606145111,0.5889620230836242,0.00492359138589035,0.054242762178172095
