LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID15102439,15102439,0,444.34844970703125,341.38817003316166,383.80605965926486,253.8889563100796,29.0,29,7.5,1,,694.6198647945918,575.0,420.0,2327.0,1335754.0,296.7116406036352,21446.36245449818,21402.0,12567.0,33959.0,4.1241355E7,3275.0088873880904,0.1164560182569411,0.4883856871789588,-0.0039818500112444415,-0.05235869322106821
ID15549551,15549551,0,385.38330078125,343.98038565026076,397.03361566764636,248.6832691833442,8.0,8,7.5,1,,681.0176807072282,585.0,381.0,2093.0,1309597.0,248.91715896767957,20909.714508580342,21085.0,11628.0,38074.0,4.0209381E7,3726.6017652949567,0.12754507345835245,0.6189610548207747,-0.0035046881513163763,-0.0394674651341583
ID15514286,15514286,0,437.57757568359375,345.0790385369655,388.15248889229866,258.81133810537307,24.0,24,7.5,1,,751.780031201248,643.0,415.0,2110.0,1445673.0,281.88045151353174,20382.32553302132,20302.0,13183.0,29130.0,3.9195212E7,2713.611238613025,0.1679340682490569,0.7669663413125729,-0.011072477724122665,-0.1681963052892883
ID15441128,15441128,0,371.3735656738281,344.0610840152604,399.9836758550607,258.7952675468732,0.0,0,7.5,1,,705.8897555902236,596.0,393.0,2112.0,1357426.0,279.44165996822795,21810.291731669266,21814.0,12891.0,34000.0,4.1941191E7,3034.3689222241082,0.13072956034982855,0.5841048024570922,0.0022246816330674414,0.03190993092607376
ID15063398,15063398,0,502.44781494140625,340.8022431449342,397.3645226361953,254.92815622175215,11.0,11,7.5,1,,720.4836193447738,595.0,406.0,2288.0,1385490.0,297.16840598578756,21527.271450858036,21278.0,13727.0,35506.0,4.1396943E7,3126.902148111121,0.15757975264389862,0.6600866733885272,0.013117511871531368,0.17827741802937327
ID15704745,15704745,0,331.0547180175781,343.57689698713267,397.24079312915785,250.74333720711184,7.0,7,7.5,1,,701.0509620384815,573.0,424.0,2720.0,1348121.0,306.7070472000012,20354.70774830993,20518.0,11254.0,33614.0,3.9142103E7,3878.598665844964,0.13933871966598366,0.5590810719811908,-0.018883353120098464,-0.2020126162054809
ID15862138,15862138,0,463.6802978515625,341.6370722751489,398.71155996320533,254.23657210449707,10.0,10,7.5,1,,714.8933957358295,584.0,403.0,2420.0,1374740.0,310.50753755307886,21186.422256890277,21134.0,12874.0,35475.0,4.074149E7,3411.7384376707146,0.15164795794576974,0.6063396354511598,0.0037268562340613117,0.04611465738987304
