LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID23425381,23425381,0,385.54937744140625,111.77621648691049,211.42157629456904,26.98197046233934,4.0,4,7.5,1,,690.3671346853874,566.0,399.0,2144.0,1327576.0,298.73182946053254,24331.876755070203,24218.0,15123.0,40807.0,4.6790199E7,4023.685573588541,0.13760849968768404,0.559089115158513,-0.0012737660385298813,-0.01542498588822172
ID23158368,23158368,0,307.1689147949219,102.52161493212996,221.57450339565997,12.594417513169207,16.0,16,7.5,1,,664.9375975039002,579.0,406.0,1639.0,1278675.0,213.39225667535683,23062.746749869995,22703.0,15048.0,37526.0,4.4349662E7,3517.0735978729413,0.11823859228863597,0.6589568902625966,0.005314487286032597,0.06932964887038348
ID23894638,23894638,0,333.7254333496094,105.20628710079984,216.43402552660854,13.003125899356647,22.0,22,7.5,1,,666.7035881435257,577.0,410.0,1645.0,1282071.0,219.76147442781155,22459.667186687468,22396.0,13698.0,33746.0,4.318994E7,3313.500827386386,0.12074957868944641,0.653714725246023,-0.0010845700744643186,-0.014718892193078982
ID23658602,23658602,0,323.33636474609375,105.24446746461027,216.36060050258112,13.307305491689274,21.0,21,7.5,1,,668.4498179927197,578.0,398.0,1712.0,1285429.0,229.60499708519254,22612.746749869995,22287.0,15227.0,35915.0,4.3484312E7,3533.246820050661,0.12046715361706613,0.6260182418954322,0.0023184184465886945,0.029607071361836355
ID23301095,23301095,0,318.0829772949219,104.04002138682739,219.37522402324421,9.92322815519471,28.0,28,7.5,1,,675.3291731669267,567.0,413.0,1907.0,1298658.0,249.54302316993682,22096.615704628184,22284.0,10950.0,37993.0,4.2491792E7,3937.8927735326465,0.12244155131765387,0.590425576790814,-0.0038739343351150103,-0.043644530146301694
ID23391021,23391021,0,366.3809814453125,112.59937340144147,210.7199795585584,29.245967716502747,0.0,0,7.5,1,,691.7659906396256,555.0,380.0,2376.0,1330266.0,323.4962897430463,23497.95423816953,23601.0,14444.0,35762.0,4.5186566E7,3648.604183665284,0.13854548228080885,0.52042947232481,-0.005432383328486818,-0.07035409662532612
ID23272296,23272296,0,336.9305114746094,107.69048649294564,212.4417081264574,20.230757778731828,9.0,9,7.5,1,,670.3291731669267,564.0,409.0,1760.0,1289043.0,242.6489079414423,23735.934997399894,23390.0,15720.0,39276.0,4.5644203E7,3791.115924583269,0.1251113522951075,0.6143855414635924,0.0018506595193481775,0.023130914974333
