LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID28883896,28883896,0,166.8375701904297,582.9565693930675,261.6796821482395,300.0,0.0,0,7.5,1,,565.0395215808633,537.0,344.0,1096.0,1086571.0,107.58850142122273,20433.35621424857,20278.0,13360.0,27752.0,3.9293344E7,2514.843559864037,0.07866956517858154,0.7660573562728975,0.0381096251085305,0.5965545828571449
ID29224191,29224191,0,74.09442138671875,578.161391971503,258.2545554185505,300.0,20.0,20,7.5,1,,533.959958398336,528.0,357.0,820.0,1026805.0,65.3646217433302,21106.17472698908,20954.0,14803.0,27707.0,4.0587174E7,2310.5451493637934,0.04695909917356616,0.7328008684150149,0.029021286857538745,0.5152492550405625
ID28849404,28849404,0,125.86543273925781,572.6811892040006,254.8294286888615,300.0,3.0,3,7.5,1,,554.130005200208,536.0,366.0,985.0,1065592.0,90.4689985440017,21252.029121164847,20817.0,14592.0,31095.0,4.0867652E7,2731.718146026126,0.06718275761339969,0.771189141962251,0.03700910498360647,0.5552908576755019
ID29261306,29261306,0,118.62615966796875,585.011645430881,258.9395807644883,300.0,11.0,11,7.5,1,,556.256890275611,544.0,379.0,1007.0,1069682.0,82.857327247299,20549.983879355175,20421.0,14338.0,27718.0,3.9517619E7,2328.132372227146,0.06685023628887823,0.8413447094190775,0.030524538037993584,0.5229071427693806
ID29527047,29527047,0,175.11109924316406,587.7517468146322,264.4197835319907,300.0,7.0,7,7.5,1,,576.173166926677,547.0,356.0,1175.0,1107981.0,110.83834666895149,20999.978679147167,20851.0,14683.0,26476.0,4.0382959E7,2143.7338632013375,0.0861528449660699,0.8246538005712455,0.029883822130993713,0.5684940032445182
ID28925105,28925105,0,114.83068084716797,581.586518701192,257.5695300726127,300.0,26.0,26,7.5,1,,557.2522100884036,544.0,373.0,970.0,1071596.0,81.61899339162284,20723.257930317213,20590.0,14995.0,29203.0,3.9850825E7,2203.6496510638895,0.06977082761716813,0.8905815319771715,0.031590703508762474,0.575966675932116
ID28698556,28698556,0,148.00527954101562,580.9014933552542,257.5695300726127,300.0,29.0,29,7.5,1,,573.0800832033282,545.0,346.0,1139.0,1102033.0,106.85644835595093,20820.57566302652,20833.0,14743.0,27626.0,4.0037967E7,2077.9856783851737,0.0826663074183038,0.818989799656721,0.026996626012462038,0.5267695373116815
