LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID4430915,4430915,0,396.4606628417969,60.6299520191974,421.9214790802434,290.08800085500025,0.0,0,7.5,1,,787.8190327613105,572.0,414.0,2932.0,1514976.0,461.47165566478543,19016.084243369736,19182.0,8105.0,56332.0,3.656793E7,4463.057895611472,0.18211570673272462,0.5260158721625122,-0.005141946696179566,-0.044043823956426906
ID4964746,4964746,0,319.3686218261719,58.25283934006385,426.8608212283309,275.94307631983156,4.0,4,7.5,1,,688.873114924597,558.0,398.0,2784.0,1324703.0,321.52752372384595,17468.791991679667,17290.0,7067.0,36905.0,3.3592487E7,4154.195968542589,0.1359563719961963,0.5128483828304903,0.0020990458510894206,0.01761640012494197
ID4775626,4775626,0,280.0635070800781,57.7517087673219,427.534073813259,277.3072634173741,5.0,5,7.5,1,,656.0280811232449,559.0,369.0,1819.0,1261542.0,237.33228865035255,17601.217368694746,17383.0,8819.0,32193.0,3.3847141E7,3518.218073494567,0.1134633621366713,0.5633461297993562,3.185954502040652E-4,0.00318677333024246
ID5332946,5332946,0,233.14813232421875,58.80795536606323,425.0465776697072,280.58820379984996,7.0,7,7.5,1,,639.7555902236089,570.0,394.0,1647.0,1230250.0,188.1575174342396,17699.94279771191,17600.0,9309.0,27905.0,3.403699E7,2792.5870842566396,0.10278705666705255,0.6338248768882829,0.016413819905212672,0.20470772695877484
ID4386885,4386885,0,374.56549072265625,89.43067597662053,441.7117309583564,258.81249746500686,23.0,23,7.5,1,,693.2386895475819,576.0,402.0,2044.0,1333098.0,277.3066307381623,16964.814872594903,16960.0,8161.0,32846.0,3.2623339E7,3020.2853265450444,0.1375405362935278,0.6045279232187958,-1.1574308704185627E-4,-0.0013003985563861137
ID4587277,4587277,0,299.8975524902344,62.58131640843328,435.81951812857767,284.237321374556,14.0,14,7.5,1,,665.1112844513781,561.0,397.0,2198.0,1279009.0,251.49407262729582,16669.983359334372,16692.0,5753.0,29969.0,3.2056378E7,3398.0059095024035,0.12305810477210803,0.579568207430151,-0.008055238361863963,-0.07967681035440825
ID5294489,5294489,0,326.767333984375,66.0269149432979,434.39683929553456,287.48376604031273,12.0,12,7.5,1,,677.0858034321373,573.0,392.0,2098.0,1302036.0,255.98958465499834,16827.946957878314,16892.0,8492.0,31850.0,3.2360142E7,3104.8189008659856,0.1269583314872712,0.5959430447922757,-0.003298360218517082,-0.03587217979058676
