LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID7720566,7720566,0,612.4866333007812,172.57322938369518,519.0487788425118,206.75171416359512,0.0,0,7.5,1,,805.058762350494,604.0,409.0,2834.0,1548128.0,434.8214701520972,17096.745189807592,16994.0,7710.0,35557.0,3.2877041E7,3396.540699564733,0.20312179681389486,0.6251633814824199,0.004032194459265069,0.04042969280550941
ID7091435,7091435,0,657.3141479492188,169.76977000902892,517.2652946263142,203.79074582616227,5.0,5,7.5,1,,835.4368174726989,600.0,409.0,3132.0,1606545.0,488.4375347209809,15236.293291731668,14797.0,6919.0,32984.0,2.9299392E7,3836.1765933886018,0.21740236418539416,0.6108923652262941,-0.032008617907634214,-0.26266739074488116
ID6661933,6661933,0,627.727294921875,164.88988821255464,513.5300707834775,206.0460899153004,16.0,16,7.5,1,,820.1492459698388,609.0,413.0,3223.0,1577147.0,464.4222912422583,17063.219968798752,17078.0,7394.0,30779.0,3.2812572E7,3213.110700804755,0.2110683173535303,0.6155512733890722,-0.012682486857418851,-0.13643094174193332
ID7566841,7566841,0,524.33984375,166.74554498661578,517.0104585531994,212.01603905665712,24.0,24,7.5,1,,778.8460738429537,598.0,390.0,2507.0,1497721.0,398.31698118645005,16850.460738429538,17145.0,5142.0,32674.0,3.2403436E7,3914.9972665613705,0.1882355740693931,0.619515192720018,-0.021454957752360147,-0.18873704685681375
ID7678462,7678462,0,555.58349609375,170.5338276741901,513.3741000085869,210.09193385523815,10.0,10,7.5,1,,765.4186167446697,610.0,406.0,2367.0,1471900.0,360.06700585627976,17819.130005200208,17570.0,8655.0,31096.0,3.4266187E7,3111.3569227724133,0.18000870090434506,0.6485657008314708,0.01897309437643142,0.21327605932368268
ID6700329,6700329,0,682.5816040039062,170.36594778520228,515.2365696623842,206.37498101433735,2.0,2,7.5,1,,833.8200728029121,611.0,398.0,3193.0,1603436.0,487.5055237261112,17095.917316692667,16842.0,7854.0,44492.0,3.2875449E7,3976.670038896711,0.21764027043276118,0.6114248062495844,0.001790981437680015,0.015371519990131447
ID7053220,7053220,0,485.57080078125,170.95841671719887,508.54991820031995,206.53481769189858,12.0,12,7.5,1,,735.4414976599064,601.0,387.0,2431.0,1414254.0,320.29420022448676,17459.982839313572,17308.0,8192.0,32982.0,3.3575547E7,3156.029488845252,0.16273692145469976,0.6427375682236882,0.007032331714309756,0.0772660462482654
