LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID12131513,12131513,0,298.818115234375,63.818067741974794,47.030292315692684,244.4766703306595,18.0,18,7.5,1,,667.3754550182007,560.0,396.0,1818.0,1283363.0,248.34602186717453,11300.689547581904,10919.0,5648.0,26422.0,2.1731226E7,2965.700243319571,0.12584224560813262,0.600747450794808,0.009462500947298233,0.07143703690143244
ID12020598,12020598,0,362.7163391113281,67.06896220400397,48.61196331288429,249.07868319748923,8.0,8,7.5,1,,692.7815912636505,572.0,401.0,2064.0,1332219.0,279.2467535338114,11110.691107644307,10790.0,5119.0,28114.0,2.1365859E7,2716.606689142778,0.1413675577933704,0.6145573727848903,0.005290232000274733,0.04304548041776983
ID12359549,12359549,0,318.83880615234375,63.04674772854506,47.307505192958274,246.10008879741733,19.0,19,7.5,1,,673.2220488819553,569.0,395.0,1920.0,1294606.0,249.49026096191122,11333.671866874674,11039.0,5170.0,22002.0,2.1794651E7,2697.659616371236,0.1291842355995475,0.6174182223449918,0.010602757077777237,0.08815598703440251
ID11588274,11588274,0,336.2830810546875,73.01728997385321,47.78179364580724,251.44578287940334,0.0,0,7.5,1,,680.0384815392616,569.0,406.0,1863.0,1307714.0,255.8229290877124,10610.233489339573,10366.0,5131.0,20346.0,2.0403479E7,2352.6371297301353,0.13227148545316697,0.6210687504056637,0.009276495058068603,0.0829036684568196
ID11440747,11440747,0,351.0392150878906,69.2156268751687,48.37454789646342,248.8540788912155,3.0,3,7.5,1,,686.2095683827353,570.0,406.0,1970.0,1319581.0,267.2332970242877,10992.38169526781,10672.0,5613.0,21023.0,2.113835E7,2403.2352493682906,0.13724657940133314,0.6197878886307294,0.008955032255235479,0.08119342360477251
ID11512103,11512103,0,352.760986328125,68.24609301116098,46.66600075807723,248.897569546871,10.0,10,7.5,1,,686.5444617784711,571.0,387.0,2290.0,1320225.0,261.0793482676115,11184.678627145086,10981.0,4859.0,20649.0,2.1508137E7,2302.5124416402628,0.13723398461108471,0.6346554118766066,0.007541375386998032,0.07271754182502392
ID12473142,12473142,0,306.8016357421875,63.374469339959546,47.829328486721494,246.94162067233066,20.0,20,7.5,1,,669.5902236089444,569.0,404.0,1871.0,1287622.0,243.8238701494023,11326.754030161206,11012.0,5853.0,21217.0,2.1781348E7,2533.58131510678,0.12427355066713444,0.60711308401177,0.010222881773966713,0.0904808672973982
