LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID37453371,37453371,0,84.67027282714844,563.1624316728008,417.23904932631876,36.010674739191266,12.0,12,7.5,1,,567.8913156526261,553.0,404.0,970.0,1092055.0,74.17525821179431,40313.22204888196,40343.0,19063.0,60722.0,7.7522326E7,6696.968908155992,0.033494555912817865,0.49625190513593137,-8.986369279898136E-4,-0.010828640441087138
ID38302856,38302856,0,74.30757904052734,552.0022391008177,424.2438704989599,23.508086048588147,27.0,27,7.5,1,,566.65002600104,556.0,391.0,949.0,1089668.0,67.86117565316326,40739.5626625065,40536.0,22497.0,60876.0,7.8342179E7,5906.08645288649,0.030088068128410042,0.48780188769105903,0.005480811891366014,0.07519997011477954
ID37572156,37572156,0,69.21548461914062,571.3350127278635,419.3790136328213,33.02483216890829,0.0,0,7.5,1,,560.8611544461778,552.0,395.0,853.0,1078536.0,63.06069590045042,40902.51378055122,40587.0,18233.0,60979.0,7.8655534E7,7519.903256539487,0.02774420053148301,0.48019073709888344,0.003549846101977657,0.038480288416948304
ID37761346,37761346,0,77.91251373291016,554.734896766949,420.3736039692701,27.333437193436197,19.0,19,7.5,1,,566.4430577223089,556.0,407.0,954.0,1089270.0,69.62773211523721,40728.513260530424,40366.0,21567.0,60897.0,7.8320931E7,6278.6581409727105,0.03176120363637997,0.5008662439023366,0.00488617236234936,0.06308318729458218
ID37841541,37841541,0,75.26297760009766,571.3416413317839,420.6102481636685,41.38954524456747,5.0,5,7.5,1,,562.8835153406136,548.0,423.0,937.0,1082425.0,72.4102800098957,40216.14976599064,40474.0,21924.0,61276.0,7.7335656E7,6621.148396767933,0.029387574432261754,0.44384682676204923,-9.674981193202666E-4,-0.011764342926398226
ID38110849,38110849,0,74.54451751708984,568.5424548355033,421.3256878357845,30.024911731672915,7.0,7,7.5,1,,562.6697867914717,549.0,415.0,929.0,1082014.0,70.33295023654547,40328.34945397816,40358.0,20754.0,60975.0,7.7551416E7,7341.7521318014515,0.02982070225725257,0.46331995441753293,9.165498955635297E-4,0.010060022854823112
ID38421452,38421452,0,65.6997299194336,558.1504742360455,416.9325478599863,27.926998911393028,25.0,25,7.5,1,,567.9188767550702,554.0,430.0,945.0,1092108.0,72.86301826141484,40124.53042121685,40208.0,20951.0,61222.0,7.7159472E7,6902.409454028091,0.032339393932758226,0.4883357495514173,-9.764236788926097E-4,-0.011363230221012781
