LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID10890918,10890918,0,450.98773193359375,207.25034199726403,590.2872777017784,0.0,0.0,0,7.5,1,,696.0936037441497,601.0,394.0,2299.0,1338588.0,269.853505129466,38434.28653146126,39502.0,20759.0,60832.0,7.3909133E7,7802.478041793826,0.14546038636298514,0.6551401828464662,0.007507841626375106,0.07341468368007605
ID11337262,11337262,0,1153.848876953125,196.9904240766074,603.9671682626539,0.0,20.0,20,7.5,1,,1062.2995319812792,698.0,375.0,4828.0,2042802.0,770.3489538190765,39914.183047321894,40712.0,19893.0,56639.0,7.6754974E7,5060.606265866844,0.33438232777932764,0.6911185086037792,0.005572783453322737,0.08742051260502733
ID11606900,11606900,0,1644.1578369140625,208.9603669949823,606.4617785692722,9.404280987594177,24.0,24,7.5,1,,1421.2896515860634,837.0,433.0,6454.0,2733140.0,1224.400124026862,41687.8112324493,41981.0,19094.0,61356.0,8.0165661E7,8655.158651958438,0.390289674012475,0.6517349163616891,-0.011907363781306139,-0.11608657966001111
ID11038178,11038178,0,759.7060546875,199.04240766073872,612.1751025991792,0.0,4.0,4,7.5,1,,841.2766510660426,627.0,368.0,3289.0,1617775.0,481.7217153517499,40233.50702028081,40731.0,22360.0,60639.0,7.7369034E7,5890.919032562553,0.2359882534030596,0.6668814692534555,0.010641092835758058,0.1438215985704058
ID11725758,11725758,0,1497.83837890625,208.34830447473803,612.2411556019853,17.06223960296095,26.0,26,7.5,1,,1354.2184087363494,760.0,422.0,8216.0,2604162.0,1273.968424021945,43467.2470098804,42865.0,21868.0,61512.0,8.3587516E7,7599.525031425482,0.4021481394000722,0.6097505610229664,0.0058936588360276,0.06702527476011973
ID10846825,10846825,0,1565.720703125,210.30032154397034,611.422272640928,16.060640448890005,27.0,27,7.5,1,,1328.7789911596465,724.0,431.0,7463.0,2555242.0,1223.8307080696147,44065.140925637024,43816.0,23843.0,61358.0,8.4737266E7,6814.393948467927,0.3947984580632508,0.6146464699134333,0.009221215002132363,0.11816794931250728
ID10804841,10804841,0,1422.3433837890625,193.5704514363885,612.859097127223,0.0,5.0,5,7.5,1,,1231.6375455018201,771.0,363.0,6198.0,2368439.0,1008.9252811168941,40527.6890275611,41422.0,19139.0,57966.0,7.7934746E7,5206.5681079843125,0.38845345698978173,0.6830642804759344,0.014868033393812041,0.22807318979024865
