LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID20830143,20830143,0,42.3790168762207,634.2115858878924,108.51484971060991,228.46349769621867,7.0,7,7.5,1,,536.2610504420177,529.0,399.0,862.0,1031230.0,55.51900122220114,28769.773790951636,28321.0,11189.0,55573.0,5.5324275E7,6222.093520064136,0.014921787732825546,0.28402259267803387,0.003177687606005566,0.029292959042818936
ID20986050,20986050,0,46.78520202636719,618.0073288405795,108.61906547602493,268.3968476301966,15.0,15,7.5,1,,536.6323452938118,529.0,405.0,886.0,1031944.0,57.96248682860536,28798.128445137805,29122.0,12185.0,57195.0,5.5378801E7,6028.117404625692,0.022790377384729884,0.41259571637053627,-0.014146637701786619,-0.13710505499484651
ID20781246,20781246,0,60.61651611328125,593.7072503419973,114.91108071135432,300.0,28.0,28,7.5,1,,531.594383775351,524.0,367.0,813.0,1022256.0,65.15386263696523,29219.239729589182,28833.0,14468.0,48768.0,5.6188598E7,5143.780054994024,0.04927943683516388,0.7663811001157136,0.0331708183576335,0.3647544274511054
ID20721913,20721913,0,59.49216079711914,604.6332765615826,113.64378456906206,278.6673595727068,19.0,19,7.5,1,,538.8143525741029,528.0,407.0,911.0,1036140.0,62.54804905941426,28787.13208528341,28123.0,13647.0,60984.0,5.5357655E7,6204.518568111868,0.024692347416514847,0.41516837972075227,-0.005149092939772005,-0.04802783811447809
ID21262466,21262466,0,38.99049758911133,613.4740035208358,109.10769871815472,275.066288812334,17.0,17,7.5,1,,538.7191887675507,530.0,393.0,858.0,1035957.0,59.87148203483951,29199.8757150286,29808.0,13206.0,49869.0,5.6151361E7,6094.847855486427,0.02337229676622886,0.4109984347828703,-0.004294536057734786,-0.04132696314358281
ID21621761,21621761,0,39.58287048339844,631.1183067593464,117.7081494992212,220.09082526572985,8.0,8,7.5,1,,543.7862714508581,533.0,384.0,877.0,1045701.0,60.63015067134437,29454.940197607903,28875.0,14598.0,60859.0,5.664185E7,6967.09736229019,0.015762830313683314,0.2783629760360565,0.009968025452466478,0.08345219705646723
ID20794679,20794679,0,51.11033248901367,635.7484116280549,102.27974220332852,237.13048314748184,0.0,0,7.5,1,,537.8044721788872,529.0,393.0,802.0,1034198.0,57.18433454492695,27302.828393135725,27049.0,11110.0,60531.0,5.2503339E7,6089.0498434936735,0.02163395570676452,0.39830701071580443,-0.001845536716822226,-0.016581088708974387
