LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID4430915,4430915,0,216.8386688232422,403.38863628799317,637.9728417808014,161.7291909996167,0.0,0,7.5,1,,624.2938117524701,552.0,388.0,1591.0,1200517.0,186.08303926125961,25052.79823192928,24228.0,13554.0,60623.0,4.8176531E7,5835.438623539071,0.09347374367266671,0.5735793566331568,0.0019840012805357847,0.017001760409919315
ID4198208,4198208,0,250.48074340820312,419.4491890134834,636.1069861013492,146.1490960258492,7.0,7,7.5,1,,637.9802392095684,562.0,358.0,1753.0,1226836.0,199.48601912351958,27954.279771190846,27810.0,15085.0,46636.0,5.375608E7,4177.035567467084,0.10242590550446071,0.5942718531907543,0.031095665635478324,0.40365564120375597
ID4387394,4387394,0,213.3242950439453,436.42938721762476,643.8953514485194,120.00769214750045,12.0,12,7.5,1,,621.9672386895476,558.0,353.0,1427.0,1196043.0,175.04469317211476,26252.207488299533,25603.0,13777.0,49282.0,5.0482995E7,5342.819414664606,0.09087685274719645,0.5920059992664205,-1.2933728074939437E-4,-0.0012711746641063573
ID4161406,4161406,0,210.74488830566406,407.9021424292359,636.8889560472455,149.9044286952341,2.0,2,7.5,1,,631.6609464378575,557.0,374.0,1511.0,1214684.0,187.79237618750824,25927.94279771191,25238.0,10664.0,60504.0,4.9859434E7,6087.346513574757,0.09716668979614329,0.5957730570856287,0.017355986717477456,0.1453270291307913
ID4274887,4274887,0,215.95252990722656,420.8165889505142,647.2472009354163,134.98890214793164,9.0,9,7.5,1,,626.3328133125325,559.0,370.0,1595.0,1204438.0,177.90304301964727,26284.122724908997,26101.0,10798.0,49619.0,5.0544368E7,5586.944669716621,0.09362430953549379,0.6027986295186947,-9.231978471912083E-4,-0.008694508164387667
ID4654028,4654028,0,208.16554260253906,431.04261050373816,651.0197458876348,129.5584344027518,11.0,11,7.5,1,,618.8845553822152,555.0,415.0,1485.0,1190115.0,162.82148120112407,25954.758710348415,25223.0,14033.0,52580.0,4.9911001E7,5159.787524868697,0.08797558334271362,0.6147109444749205,0.007093365800742668,0.07085945291672535
ID3778162,3778162,0,213.7963104248047,451.19701749801413,642.6335867181068,124.3167553406675,14.0,14,7.5,1,,626.8861154446178,553.0,409.0,1676.0,1205502.0,186.75899996601262,26199.508060322412,25599.0,14242.0,45398.0,5.0381654E7,5037.300246302278,0.09361822602730534,0.5746875316463873,-0.002432796418075748,-0.02536815601249077
