LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID7427696,7427696,0,46.93669891357422,277.7017783857729,357.0451436388509,0.0,0.0,0,7.5,1,,530.3302132085283,530.0,366.0,841.0,1019825.0,53.55789516545518,9409.203848153926,9141.0,4072.0,16232.0,1.8093899E7,2316.780831559951,0.037592493434999534,0.7175087077470281,-2.852203432673567E-4,-0.0023174069623260597
ID8017943,8017943,0,32.79559326171875,282.4897400820794,358.41313269493844,0.0,1.0,1,7.5,1,,522.3078523140925,522.0,348.0,698.0,1004398.0,50.48315856155097,9282.914716588664,9234.0,2919.0,15857.0,1.7851045E7,2786.806116864523,0.034071296178557725,0.6817861960474945,-0.018130161251753707,-0.12301422882719294
ID7434867,7434867,1,166.73037719726562,591.7848488785805,685.6913025635864,53.151036867198144,0.0,0,7.5,1,,598.9698387935517,550.0,409.0,1570.0,1151819.0,142.0736099361757,10466.447217888715,10239.0,4703.0,26201.0,2.0126978E7,3085.613029469837,0.0740883405274721,0.5816093761242352,-0.003264459266559471,-0.022218724974472612
ID8251327,8251327,1,179.40818786621094,592.0918458101652,685.7599562578749,52.80882208949281,17.0,17,7.5,1,,609.7509100364015,556.0,421.0,1655.0,1172551.0,154.6661028621386,11102.160166406657,10925.0,5155.0,26570.0,2.1349454E7,3031.6742003658233,0.08035058354458821,0.5864238629375101,-0.0018469510083966212,-0.013552305844294713
ID7278508,7278508,1,184.91661071777344,592.1819310178057,685.9570743706125,53.39960913861882,26.0,26,7.5,1,,611.532501300052,555.0,407.0,1400.0,1175977.0,154.36262952440313,11114.513780551222,10898.0,4868.0,27860.0,2.137321E7,3227.45688362898,0.08255762960009852,0.6042456895234019,-1.0006978368585278E-4,-6.892970790027467E-4
ID7670257,7670257,1,189.86941528320312,592.0928945917741,685.8070553040714,51.81295567739238,18.0,18,7.5,1,,609.2386895475819,554.0,402.0,1658.0,1171566.0,157.1662849488037,11183.990639625585,10850.0,4485.0,27715.0,2.1506814E7,3611.1695000485524,0.07995272298049122,0.5739665708971198,0.0018894209086377479,0.01168121030894309
ID8326331,8326331,1,179.436279296875,592.1593798103979,685.9147125729767,53.004928441245504,23.0,23,7.5,1,,608.9386375455018,554.0,383.0,1543.0,1170989.0,157.67626900092225,11144.41289651586,10935.0,5083.0,27698.0,2.1430706E7,3139.918332759578,0.0809523544790277,0.5784424071136512,-2.6365867968873645E-4,-0.0018720844282709968
