LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2488357,2488357,0,72.75482177734375,117.19280106647469,368.0747126721415,142.02051854723237,0.0,0,7.5,1,,542.5657826313053,532.0,384.0,939.0,1043354.0,64.91268620727129,31381.914716588664,31358.0,17135.0,52637.0,6.0347422E7,5380.739441524005,0.028887189209552706,0.46934299637492216,-0.006588712919549214,-0.07736400891438688
ID2527522,2527522,0,70.92256927490234,126.02531441954872,380.1405369835403,138.2964419501684,7.0,7,7.5,1,,542.8299531981279,533.0,409.0,824.0,1043862.0,59.425787692026304,33182.416016640665,32914.0,20982.0,52236.0,6.3809786E7,4769.056651918977,0.02816259573550809,0.5004143248232432,0.0017193239334465037,0.023884556145579872
ID3063462,3063462,0,73.64984893798828,138.70092446479623,354.8831370006103,158.61815134773406,17.0,17,7.5,1,,544.0618824752991,536.0,400.0,872.0,1046231.0,61.85406962547252,32849.17576703068,32811.0,19409.0,52352.0,6.3168965E7,5423.99112868882,0.030343353337757464,0.518073784991299,-0.005831681037188019,-0.0710508609759975
ID3120356,3120356,0,65.63729095458984,140.24958879632,356.01858220282804,151.736567455293,25.0,25,7.5,1,,551.6801872074883,533.0,400.0,998.0,1060881.0,80.57630064973037,32102.737389495578,32759.0,13983.0,60927.0,6.1733564E7,8054.536329680971,0.03574383185458229,0.47256201654590546,-0.01744929477413111,-0.14156452128991304
ID3197180,3197180,0,76.45157623291016,138.6764713879484,355.3373256471838,158.56192679396221,16.0,16,7.5,1,,547.191887675507,535.0,368.0,815.0,1052250.0,64.84854761445575,32850.56994279771,32882.0,18307.0,51330.0,6.3171646E7,5450.319199873644,0.030684440522859846,0.5024141718247869,-0.006037982688537025,-0.0732273033981493
ID2998626,2998626,0,71.15636444091797,129.0510356618448,382.3541497027737,144.88066965495005,8.0,8,7.5,1,,544.876235049402,536.0,394.0,924.0,1047797.0,65.61280229613577,33199.357254290175,32879.0,21581.0,49784.0,6.3842364E7,4305.690588282214,0.029391531492814885,0.47422112945630707,0.0025454969907167907,0.03915483074630223
ID3156131,3156131,0,81.78617095947266,136.01176584533562,360.81851913393655,130.76212751745138,28.0,28,7.5,1,,552.4414976599064,534.0,375.0,985.0,1062345.0,81.49482139943288,32920.45657826313,33520.0,14071.0,57937.0,6.3306038E7,7059.5728224552295,0.035260386468376766,0.461767910151398,-0.006331844075728002,-0.05943007282643327
