LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID5708951,5708951,0,1198.73681640625,346.1972143669354,637.2112132503577,193.29830930032307,8.0,8,7.5,1,,1048.8091523660946,574.0,399.0,9030.0,2016860.0,1213.6706458109136,26386.040561622463,26137.0,19242.0,41614.0,5.0740356E7,2955.134757922184,0.3196110443611724,0.4186021481192345,-0.013695784265454803,-0.24797217330463714
ID5092687,5092687,0,1273.9764404296875,345.42741635867316,636.6558240671214,194.31097102155485,21.0,21,7.5,1,,1060.34373374935,570.0,419.0,8678.0,2039041.0,1227.0907838359922,26743.061362454497,26670.0,16196.0,39768.0,5.1426907E7,2502.6355646369407,0.3270082045388501,0.4258778144563259,-0.009161019139605573,-0.19759875824689435
ID4936014,4936014,0,1065.4237060546875,345.0623647458051,636.6223251520714,192.45236635940157,0.0,0,7.5,1,,975.8179927197087,573.0,400.0,7405.0,1876498.0,1032.8506631408006,27203.684867394695,27030.0,17689.0,43602.0,5.2312686E7,2550.25682910492,0.29194628981107296,0.4269920468554406,1.6200147025430625E-4,0.0034555916594301516
ID5126856,5126856,0,1062.8739013671875,345.057002835202,636.3250826685919,192.8014316485999,1.0,1,7.5,1,,975.2958918356734,574.0,392.0,8449.0,1875494.0,1038.9619571007272,27201.26937077483,26879.0,18266.0,43285.0,5.2308041E7,2589.465914911413,0.29127588874026844,0.4234988537623602,5.349164598988283E-4,0.011232144468045376
ID4975235,4975235,0,1244.193359375,345.3378497796985,636.3639952147317,192.00018395184594,6.0,6,7.5,1,,1061.1014040561622,572.0,406.0,8767.0,2040498.0,1225.552055356379,26912.534581383254,26576.0,14184.0,40736.0,5.1752804E7,3139.4419256952106,0.3252530426055067,0.4249889909788657,-0.00309961952820958,-0.05330755570399298
ID5668447,5668447,0,1217.318359375,345.69014653344703,636.9847069304684,193.89574498208194,10.0,10,7.5,1,,1064.696827873115,573.0,398.0,8249.0,2047412.0,1223.247396334125,27146.33749349974,27028.0,15952.0,43793.0,5.2202407E7,2559.975693738538,0.33005090337064596,0.43197072870451625,0.0011629400668182468,0.024635306304957676
ID5053892,5053892,0,1286.3509521484375,345.3749769880866,636.644970829986,192.9690426637623,22.0,22,7.5,1,,1063.9973998959958,571.0,400.0,9011.0,2046067.0,1249.2722624541268,26761.352054082163,26495.0,17910.0,40864.0,5.146208E7,2583.575011106155,0.3268906213827719,0.4196437903972698,-0.009300220006688021,-0.1944769467474199
