LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID6127708,6127708,0,533.0872802734375,407.1700252570939,315.689472117909,234.48517982830361,0.0,0,7.5,1,,25599.063962558503,25378.0,11901.0,60534.0,4.9227E7,4870.109580415118,719.6942277691107,589.0,395.0,2403.0,1383972.0,323.99839432382447,-0.0014718715710248262,-0.015496191031987863,0.15397408654282263,0.5927707112433507
ID6590304,6590304,0,578.878662109375,448.5598945070706,295.77381788963777,194.59452968610879,12.0,12,7.5,1,,26845.132605304214,26495.0,10905.0,60359.0,5.162319E7,6291.593722647404,752.0624024960998,575.0,378.0,3145.0,1446216.0,425.121306377557,0.005773289570282103,0.04898443711042509,0.1740178926970175,0.5244332163818749
ID6935534,6935534,0,476.0733947753906,468.47636613183175,283.0694748254053,188.6476749466034,19.0,19,7.5,1,,26694.828393135725,26693.0,10168.0,52131.0,5.1334155E7,5063.552220649388,716.6198647945918,585.0,400.0,2645.0,1378060.0,323.0503975794743,-5.23526590319831E-4,-0.005522910491254649,0.14941014723884363,0.5767048786715236
ID6165717,6165717,0,511.4608154296875,417.2137729021989,314.3026335276656,223.61819027508312,3.0,3,7.5,1,,26689.52990119605,26728.0,12238.0,55904.0,5.1323966E7,4582.474378915682,730.9734789391575,577.0,390.0,2549.0,1405662.0,366.8546452232353,0.00550255942796617,0.06374592623261915,0.16282587260204306,0.5580155757013847
ID6474286,6474286,0,483.0992736816406,439.7267674132612,312.8208361533184,205.2936431373093,8.0,8,7.5,1,,27019.395735829432,26517.0,10159.0,60729.0,5.1958298E7,6940.073477565558,735.7649505980239,583.0,407.0,2528.0,1414876.0,368.98127732512097,0.006871468405638082,0.053139452903595556,0.16269028183036474,0.5580361455976278
ID6550255,6550255,0,501.0780029296875,464.27256012152094,283.158809770298,184.54603724073954,18.0,18,7.5,1,,26828.190327613105,26130.0,9568.0,61206.0,5.159061E7,8414.833048263392,730.9365574622985,574.0,396.0,2939.0,1405591.0,380.7938393752516,0.004632090403477124,0.0293998998366099,0.15993040355894128,0.5293206858544606
ID6896676,6896676,0,517.3659057617188,462.2382311066776,280.7173571821187,193.68570316291954,16.0,16,7.5,1,,26740.526781071243,26767.0,9115.0,60720.0,5.1422033E7,6696.128687788098,737.5772230889236,574.0,401.0,2639.0,1418361.0,391.232386266358,-0.0042348505128991945,-0.03396701045653201,0.16538607531308192,0.5350961309163941
