LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID1717274,1717274,0,100.28705596923828,523.076032102687,632.2265719469439,118.78304862970491,0.0,0,7.5,1,,24713.02392095684,24269.0,7588.0,60767.0,4.7523145E7,5972.516465942306,567.9485179407176,547.0,411.0,1184.0,1092165.0,87.8785461160423,0.015120988573153384,0.12327099666936998,0.04922096752571314,0.6063722086168505
ID1905884,1905884,0,118.12574005126953,573.28318189941,613.0713537061615,84.4268642660629,21.0,21,7.5,1,,25979.14352574103,25611.0,10568.0,61032.0,4.9957893E7,6310.239795852343,572.0728029121165,543.0,409.0,1077.0,1100096.0,98.29283111759229,0.006908864089448428,0.05649700776182681,0.05283600537525681,0.5841558089743617
ID1449749,1449749,0,111.20379638671875,551.7344201151424,628.7717928978079,90.16790025817757,13.0,13,7.5,1,,25132.892355694228,25238.0,12823.0,54837.0,4.8330552E7,4904.069710522018,569.6058242329693,545.0,374.0,998.0,1095352.0,91.05244059312702,-0.0051496025561438424,-0.05305566541573449,0.04997532620283155,0.5955104265779275
ID1178261,1178261,0,129.0254669189453,536.1204862833202,619.9132163474669,90.02996483210464,10.0,10,7.5,1,,25201.76339053562,24818.0,10588.0,51511.0,4.8462991E7,4764.101759196429,575.1383255330213,545.0,401.0,1065.0,1105991.0,103.18309399949759,-0.0010283544626295573,-0.0108910454835285,0.05448914387679079,0.5760519213363686
ID1977176,1977176,0,120.93985748291016,528.5837659085198,627.6733212990977,100.77361280146246,5.0,5,7.5,1,,24409.778471138845,24366.0,9601.0,60944.0,4.6940004E7,6458.642045557842,580.5569422776911,546.0,411.0,1181.0,1116411.0,113.51319220600486,-0.00890635353126454,-0.06792628395680127,0.05776783886135192,0.5586299855837903
ID1603039,1603039,0,120.78751373291016,527.2266085012948,624.0396285583657,95.55914496423915,6.0,6,7.5,1,,25268.4992199688,24756.0,9591.0,61009.0,4.8591324E7,7229.749211138431,585.9251170046801,545.0,405.0,1483.0,1126734.0,129.04171581638627,0.0029787886017344683,0.020760324925136263,0.06203003440620352,0.5304045063829358
ID2246181,2246181,0,131.27310180664062,531.2974118159724,620.5328931189724,93.48927936946254,9.0,9,7.5,1,,24861.05460218409,24677.0,9619.0,55808.0,4.7807808E7,6000.406302895381,578.66874674987,547.0,409.0,1141.0,1112780.0,106.13978274720074,-0.00600718781062525,-0.05007913866838629,0.056775713695517774,0.5858165094295765
