,gene,log2fold_diff_mean,exp,pvalue
0,A1BG,0.13769767391792062,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.5658460505408771
1,A1CF,0.4255492507635708,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.07091082118176864
2,A2M,-0.20709917246902446,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.32464006823858377
3,A2ML1,0.0246663248386359,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.950943024445536
4,A3GALT2,-0.194330596807421,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.3536864521994463
5,A4GALT,-0.01036991031149607,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.9260539940028902
6,A4GNT,0.4240213716314849,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.06868640191828228
7,AAAS,-0.06715798449416675,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.7223828277631115
8,AACS,0.03057605150585746,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.931025562312232
9,AADAC,-0.13055518015779796,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.5233278124453313
10,AADACL2,0.22711096386436913,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.32882384973092776
11,AADACL3,0.059564371358019924,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.8258219184970023
12,AADACL4,0.20204658858581812,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.38552730293925225
13,AADAT,0.15499672811800938,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_bestruns_original_analysis.csv,0.5138173367413112
