,gene,log2fold_diff_mean,exp,pvalue
0,A1BG,0.13835362906526288,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.3885012273219198
1,A1CF,0.41567070319775096,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.01382105317517292
2,A2M,0.02139862602800123,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.9073555221762037
3,A2ML1,-0.03617493808772367,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.797609375984521
4,A3GALT2,-0.25500658449168495,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.11042433464538833
5,A4GALT,-0.07675446371659289,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.6092865472041268
6,A4GNT,-0.026415628531083573,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.8469856733660771
7,AAAS,-0.01768419185556037,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.8912117221279241
8,AACS,-0.10590860149911109,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.4880727977979668
9,AADAC,0.015904933051825106,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.9394505478436449
10,AADACL2,0.06282522698568256,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.7029243573569286
11,AADACL3,0.033218192373691134,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.8503146264894095
12,AADACL4,0.14369425295743574,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.3693371567745804
13,AADAT,0.2304588402054333,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.15382810419753473
14,AAED1,-0.0859057299410142,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.5700896836216857
15,AAGAB,0.31051787191376756,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.05469308110293458
16,AAK1,-0.014758880500052788,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.907647881639986
17,AAMDC,-0.10071196964184141,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.5036585012161483
18,AAMP,0.31849354475713504,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.05020401764475352
19,AANAT,-0.14954385621178437,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.332603633001136
20,AAR2,-0.20999323708292614,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.18353489602656867
21,AARD,-0.08826196198132268,drive/MyDrive/colab_files/20221003_galvo/20220930_screen_log2fold_diffs_galvo_sgRNA_means_original_analysis.csv,0.5574820825379638
