,gene,log2fold_diff_mean,exp,pvalue
0,8-Mar,0.14127198086021672,No_efield,0.5385292195369324
1,A1CF,-0.14414938384616338,No_efield,0.5199318232163551
2,AARS,-0.04440547561411957,No_efield,0.8379212305506685
3,AARS2,-0.9550976455578698,No_efield,2.123659211280292e-05
4,AATF,-0.6389831557744229,No_efield,0.009797391926799664
5,ABCA8,0.35699181129085916,No_efield,0.10483260622415223
6,ABCF1,-0.41908226748165656,No_efield,0.06504621704895584
7,ABHD12B,-0.4859468728751046,No_efield,0.029241322746770115
8,ABHD17A,0.32394156768494975,No_efield,0.1416656445031095
9,ABO,-0.7634426665992785,No_efield,0.0023221115030930364
10,ACACA,-3.755959336583931,No_efield,7.322962797518248e-07
11,ACCS,-0.21671208469653191,No_efield,0.3364425412877796
12,ACIN1,1.1786933739657768,No_efield,1.537822187478832e-05
13,ACOT7,-0.6648246946193613,No_efield,0.0021800460248211826
14,ACTL6A,-3.4306844382966326,No_efield,5.126073958262774e-06
15,ACTR10,-1.2051304986843565,No_efield,0.00011863199731979562
16,ACTR3,-0.5137270770891311,No_efield,0.026528897326569358
17,ACTR6,1.1202491774497798,No_efield,0.00011130903452227737
18,ACTR8,-3.14060020405697,No_efield,2.8559554910321166e-05
19,ADAT2,-0.5829249172001222,No_efield,0.009823754592870729
20,ADGRE2,-0.946466236902348,No_efield,7.469422053468613e-05
21,ADH4,-0.18043321369189536,No_efield,0.42544949261021514
22,ADNP,-1.0353329351816685,No_efield,0.00016403436666440876
23,ADRA1A,-0.3663325492653133,No_efield,0.10557295776298133
24,ADSL,-1.6444724921156932,No_efield,2.123659211280292e-05
25,ADSS,-3.1490222649370234,No_efield,7.322962797518248e-07
26,AGMO,0.03770901717292774,No_efield,0.8746883621644481
27,AGPS,-1.681368136222569,No_efield,0.00043351939761308026
28,AGXT,-0.41632750399210594,No_efield,0.06965968361139234
29,AIMP2,-0.5526205715166541,No_efield,0.012597692900570641
30,AK2,-4.72081885697245,No_efield,7.322962797518248e-07
31,AKAP10,-0.7042118864035775,No_efield,0.001860032550569635
32,AKAP13,-0.3158086387017767,No_efield,0.16173129486458926
33,AKAP17A,-0.9783242546500235,No_efield,0.00018673555133671532
34,AKAP7,-0.7820477776512137,No_efield,0.0005301825065403211
35,AKR1A1,-0.14080760389872593,No_efield,0.5325353744871638
36,AKR1B15,0.017795837831352707,No_efield,0.9474588403722262
37,ALG10B,-0.07747181483393993,No_efield,0.725057531026478
