,gene,log2fold_diff_mean,exp,pvalue
0,8-Mar,0.31535085701140353,Yes_efield,0.10466930415376757
1,A1CF,-0.1309460035461813,Yes_efield,0.4908757714283622
2,AARS,0.3280127347269733,Yes_efield,0.10012613803418725
3,AARS2,-0.2289787248409508,Yes_efield,0.218902397721094
4,AATF,0.9639365134002592,Yes_efield,7.322962797518248e-06
5,ABCA8,0.19808272765274335,Yes_efield,0.29243739324493295
6,ABCF1,-0.0585598175787555,Yes_efield,0.7734842840064662
7,ABHD12B,0.060896883317401264,Yes_efield,0.7265331080301779
8,ABHD17A,-0.502568319441549,Yes_efield,0.009680956818319124
9,ABO,-0.2093421893343396,Yes_efield,0.26900098310775555
10,ACACA,-2.263200185167799,Yes_efield,7.322962797518248e-07
11,ACCS,-0.14175899284112584,Yes_efield,0.45334924857247993
12,ACIN1,1.134604116992006,Yes_efield,9.519851636773723e-06
13,ACOT7,-0.23653778366916375,Yes_efield,0.1975771977584411
14,ACTL6A,-3.4459864679283534,Yes_efield,7.322962797518248e-07
15,ACTR10,-0.8605254192926511,Yes_efield,3.515022142808759e-05
16,ACTR3,-1.8256440509418363,Yes_efield,2.1968888392554744e-06
17,ACTR6,-0.5557427739755365,Yes_efield,0.004251712200239095
18,ACTR8,-2.4364347223910983,Yes_efield,3.515022142808759e-05
19,ADAT2,-1.6944320485704374,Yes_efield,7.322962797518248e-07
20,ADGRE2,0.0027292943024442664,Yes_efield,0.965237529452041
21,ADH4,-0.1896898885780481,Yes_efield,0.31042771594959606
22,ADNP,-1.16232960304066,Yes_efield,0.00020870443972927007
23,ADRA1A,-0.061876729002009995,Yes_efield,0.761466569759459
24,ADSL,-0.5734973759085694,Yes_efield,0.003168646002486146
25,ADSS,-0.931280856273126,Yes_efield,0.00017355421830118247
26,AGMO,0.1203857862979999,Yes_efield,0.5096437927821217
27,AGPS,0.06164810336649751,Yes_efield,0.7287424459061892
28,AGXT,-0.2503625441528629,Yes_efield,0.17287391505729302
29,AIMP2,-0.07691284463975014,Yes_efield,0.699079320502282
30,AK2,-1.9102276890804726,Yes_efield,7.322962797518248e-07
31,AKAP10,-0.5064061864859589,Yes_efield,0.005912560162716234
32,AKAP13,-0.09160176374385097,Yes_efield,0.6404238530867203
33,AKAP17A,0.6978301801126761,Yes_efield,0.001408205745962759
34,AKAP7,0.15347436036740095,Yes_efield,0.409433440675763
35,AKR1A1,0.0630105313170619,Yes_efield,0.7158760002709497
36,AKR1B15,-0.07138503545101126,Yes_efield,0.7192628705648018
37,ALG10B,0.11363703985957511,Yes_efield,0.536134610702144
38,ALG13,0.4427155753955159,Yes_efield,0.026279916591453737
39,AMH,-0.17592158457708487,Yes_efield,0.3474811754087586
40,AMZ1,0.4148928720565878,Yes_efield,0.0415131438028512
41,ANAPC2,0.0916129601560492,Yes_efield,0.6157696342363157
42,ANAPC4,0.4972723003074706,Yes_efield,0.01807160759171553
43,ANGPT1,-0.09389037723006606,Yes_efield,0.6313785294392258
44,ANKK1,0.20056945939322113,Yes_efield,0.29358856299670283
45,ANKRD26,-0.7037614144637278,Yes_efield,0.0001332779229148321
46,AP1G1,0.7891619548372567,Yes_efield,9.812770148674452e-05
47,APBA3,-0.1888187611319423,Yes_efield,0.3122826224262074
48,APOA4,0.021530619043373427,Yes_efield,0.8882512215617316
49,APOBEC3A,-0.00852347123766487,Yes_efield,0.9880470939737508
50,APOBEC4,0.039791588494469364,Yes_efield,0.8086535451378273
51,ARF1,-0.13960226153460167,Yes_efield,0.465022051271724
52,ARF5,-0.3120412784269902,Yes_efield,0.08854121088851338
53,ARHGAP12,0.3674988888490532,Yes_efield,0.06546216133585488
54,ARHGAP30,-6.014812867262822,Yes_efield,7.322962797518248e-07
55,ARHGAP42,0.02140621259241553,Yes_efield,0.8875328389112951
56,ARHGAP45,-0.8919373852274477,Yes_efield,0.010222856065335474
57,ARHGDIB,-0.08447401935455183,Yes_efield,0.6661479568018425
58,ARHGEF10L,0.07498488112131677,Yes_efield,0.6721286205185756
59,ARID4B,0.02124415059366937,Yes_efield,0.8873351189157621
60,ARL2,0.01101633617632943,Yes_efield,0.9362268800333927
61,ARNTL2,0.5874261880086026,Yes_efield,0.003700293101585971
62,ASCC3,-2.1956349030076496,Yes_efield,7.322962797518248e-07
63,ASH1L,-0.015249921665223468,Yes_efield,0.9592737085497421
64,ASNA1,-1.3378032541973708,Yes_efield,0.0001501207373491241
65,ATE1,0.8614347090340253,Yes_efield,0.011752622993737036
66,ATIC,-5.998979941932802,Yes_efield,7.322962797518248e-07
67,ATL2,-1.9159981984933132,Yes_efield,0.00010178918288550364
68,AURKA,-0.4077724594228363,Yes_efield,0.0250613755819467
69,AURKB,0.29674137607238366,Yes_efield,0.13434487859443053
70,B3GAT3,-0.3115711975520706,Yes_efield,0.09518606733098144
71,B3GNT2,-5.451857031604061,Yes_efield,7.322962797518248e-07
72,B4GALT1,0.31380028618563865,Yes_efield,0.1069079338809689
73,B4GALT2,0.21216464464841037,Yes_efield,0.261844251565741
74,BABAM1,-0.04962052336242229,Yes_efield,0.8101401065857236
75,BACH1,1.0577040002156808,Yes_efield,1.0984444196277371e-05
76,BANF1,-0.5723454091868817,Yes_efield,0.0043461784203270805
77,BANP,0.14191582018292337,Yes_efield,0.4446876481755754
78,BAP1,-3.1333941842437487,Yes_efield,7.322962797518248e-07
79,BARD1,-0.5893613423312952,Yes_efield,0.0022591340230343794
80,BCAS3,0.08300272139205482,Yes_efield,0.6409423188527846
81,BCCIP,-0.338434289085207,Yes_efield,0.0699672480488881
82,BCL2,-0.35328270197921063,Yes_efield,0.05190149882741058
83,BCS1L,-0.7320189058702801,Yes_efield,0.00018893244017597079
84,BDP1,0.3314468037857515,Yes_efield,0.09881166621203273
85,BEND4,0.1622631610466967,Yes_efield,0.3825691516530673
86,BFAR,0.1123115351610335,Yes_efield,0.5383790987995833
87,BIRC5,1.2000118284592973,Yes_efield,1.4645925595036495e-06
88,BLM,-0.27677253790161227,Yes_efield,0.13401973904622072
89,BRCA2,-0.31404249296705017,Yes_efield,0.0998215027818105
90,BRF1,-0.6428022026222941,Yes_efield,0.0013496220435826132
91,BRI3,-2.1405515107133612,Yes_efield,1.4645925595036495e-06
92,BROX,-0.1495317090354617,Yes_efield,0.4275160327116748
93,BTAF1,-3.336245913209782,Yes_efield,9.15370349689781e-05
94,BTBD6,1.1696490817273255,Yes_efield,0.0009358746455228321
95,BTN3A3,-0.008598755450832505,Yes_efield,0.9880038884932455
96,BUB1B,-0.048414838444672294,Yes_efield,0.8190221281628334
97,BUD13,0.48450502759645353,Yes_efield,0.015517358167941168
98,C10orf111,-0.44123443056139894,Yes_efield,0.015244211655593736
99,C10orf82,0.19379485309611802,Yes_efield,0.30435258601277493
100,C11orf49,-0.022718682302785564,Yes_efield,0.9300763235797571
101,C14orf1,0.012988096202128934,Yes_efield,0.9245738493337019
102,C14orf177,0.02615291107740647,Yes_efield,0.8649744520135402
103,C14orf39,-2.5748985691603856,Yes_efield,8.055259077270073e-06
104,C15orf41,-0.6102480726007689,Yes_efield,0.002545461868417343
105,C15orf57,-0.9137467058270087,Yes_efield,0.00013254562663508028
106,C16orf59,-1.5203502764876446,Yes_efield,7.322962797518248e-07
107,C16orf62,-0.8554594884967465,Yes_efield,0.0019025057347952408
108,C17orf102,0.2886111551736739,Yes_efield,0.13433023266883548
109,C17orf107,0.10676768901744894,Yes_efield,0.5551186594584303
110,C17orf67,0.8132655650721471,Yes_efield,0.00015744370014664233
111,C18orf54,0.2428410888308974,Yes_efield,0.20224119276418046
112,C18orf63,-0.02433024707904689,Yes_efield,0.9201332046932869
113,C18orf65,-0.32271021701383323,Yes_efield,0.08591666102188285
114,C19orf25,-1.3010869422390352,Yes_efield,8.27494796119562e-05
115,C19orf47,-1.546784961477865,Yes_efield,0.00717503894900838
116,C1QA,-0.6184988494170599,Yes_efield,0.002874995194305664
117,C1QTNF5,-1.5269301029661726,Yes_efield,0.0197837162937753
118,C1orf27,-0.16948751956413666,Yes_efield,0.36520347767503253
119,C1orf87,0.11477530697225104,Yes_efield,0.5321553127179726
120,C3orf38,0.4504713912366,Yes_efield,0.023746903759792173
121,C9orf50,-0.016939437615985115,Yes_efield,0.9495444201769594
122,C9orf57,0.020452385830162456,Yes_efield,0.8900094649294158
123,CACYBP,0.17426189575440534,Yes_efield,0.35370130000897065
124,CALCOCO1,0.12867174282625526,Yes_efield,0.48509575689228107
125,CALCRL,0.07430729407528813,Yes_efield,0.6726858979874667
126,CAMKV,0.09233227146986867,Yes_efield,0.6066254505910547
127,CAND1,-2.495235958653115,Yes_efield,7.322962797518248e-07
128,CANX,-1.5503145224762063,Yes_efield,5.126073958262774e-06
129,CAP1,-6.451704239281141,Yes_efield,7.322962797518248e-07
130,CAPZB,-5.035363393332629,Yes_efield,7.322962797518248e-07
131,CARM1,0.7711431986680927,Yes_efield,0.0006554051703778832
132,CARS,0.3940970257070168,Yes_efield,0.046300896879868624
133,CASP3,-1.308783638879189,Yes_efield,7.322962797518248e-07
134,CASP9,-0.14701747780022223,Yes_efield,0.43531791727615077
135,CASQ1,-2.2965124464702362,Yes_efield,6.590666517766423e-06
136,CBFB,-6.099369586097532,Yes_efield,7.322962797518248e-07
137,CCDC129,0.039223557669724886,Yes_efield,0.8131381275550275
138,CCDC130,-0.5465462813202935,Yes_efield,0.002850097120794102
139,CCDC136,0.10549839339824345,Yes_efield,0.5573382494823581
140,CCDC137,0.4864165463288524,Yes_efield,0.014208012419744905
141,CCDC174,-0.5571670417494173,Yes_efield,0.002987768821387445
142,CCDC177,0.2317238737798926,Yes_efield,0.22521772083767372
143,CCDC181,0.19737234219845043,Yes_efield,0.2947865997103768
144,CCDC185,-0.33162562852570093,Yes_efield,0.08360406937042658
145,CCDC6,0.8967449398865757,Yes_efield,0.00012302577499830657
146,CCDC66,-0.1721905257192716,Yes_efield,0.3568120946053564
147,CCDC85B,0.47932882970534646,Yes_efield,0.015687983201123343
148,CCDC93,-1.0995959742111798,Yes_efield,9.446622008798539e-05
149,CCK,0.4394703112365246,Yes_efield,0.0270480953889134
150,CCNB1,0.07143448569690071,Yes_efield,0.6849408762291135
151,CCNB2,-0.001963617263772468,Yes_efield,0.9884293526317813
152,CCNC,-3.580652218925511,Yes_efield,7.322962797518248e-07
153,CCNE1,-0.18189446161237965,Yes_efield,0.3276813485968288
154,CCNT1,-0.9645391699839468,Yes_efield,7.322962797518248e-06
155,CCR6,0.16481360280026955,Yes_efield,0.3847294256783352
156,CCT6A,-1.2708050594309792,Yes_efield,2.1968888392554744e-06
157,CD247,-0.07152353815698868,Yes_efield,0.7206498397186518
158,CD300E,0.13673286972952306,Yes_efield,0.4589579057790992
159,CD79B,-0.11398254352222825,Yes_efield,0.5536050030481833
160,CDC5L,0.5915011702877212,Yes_efield,0.0038255157654235325
161,CDC7,-0.3060253748575717,Yes_efield,0.09885999776649634
162,CDC73,-0.3184171412523579,Yes_efield,0.0899303769312026
163,CDCA3,0.4691986644299974,Yes_efield,0.020054665917283474
164,CDCA8,0.28737276836826925,Yes_efield,0.13904548841415748
165,CDH20,0.40953870530643627,Yes_efield,0.037728636629093766
166,CDK1,0.7315835997239981,Yes_efield,0.0004715988041601752
167,CDK12,-1.165545839370013,Yes_efield,1.4645925595036495e-06
168,CDK2,-0.6469788588583273,Yes_efield,0.0005982860605572408
169,CDK4,-1.4668338373800476,Yes_efield,1.6842814434291972e-05
170,CDKL4,0.3377375514240959,Yes_efield,0.08328112671105603
171,CDRT15,-0.027247074235337,Yes_efield,0.9061631885644613
172,CDT1,1.3954972247678021,Yes_efield,
173,CEACAM21,-0.17122840465424805,Yes_efield,0.3603615346733135
174,CEBPB,-1.0765400080486558,Yes_efield,1.4645925595036495e-06
175,CEBPD,0.12432173938427321,Yes_efield,0.4990269613182798
176,CEBPE,-0.6411477108532974,Yes_efield,0.003044155634928336
177,CEBPG,-0.030205813753420806,Yes_efield,0.894231152982185
178,CELSR2,0.48708448950777533,Yes_efield,0.014048371830759007
179,CELSR3,0.27928214875909546,Yes_efield,0.15156995168675294
180,CENPE,-0.23926204143534976,Yes_efield,0.2005986522086971
181,CENPH,-0.081961333114513,Yes_efield,0.6783846276364954
182,CENPM,-0.0870520777134043,Yes_efield,0.6573984808513677
183,CENPW,-0.29400059516692983,Yes_efield,0.10753917327411497
184,CEP152,-0.5465215582390657,Yes_efield,0.0034659582920653865
185,CEP295,-1.1209251448593422,Yes_efield,1.4645925595036495e-06
186,CEP55,-3.2206284574522797,Yes_efield,7.322962797518248e-07
187,CERS2,-2.3102956649538866,Yes_efield,7.322962797518248e-07
188,CERS6,0.6673450882826768,Yes_efield,0.0017099118132205108
189,CES3,-0.08681419577680487,Yes_efield,0.6582904177201053
190,CFAP126,0.09707955210493202,Yes_efield,0.5889653935085596
191,CFH,-0.17714884618484836,Yes_efield,0.34295045832593407
192,CHEK1,0.6955950132481908,Yes_efield,0.0008926691650174744
193,CHERP,0.9016524477170961,Yes_efield,6.370977633840876e-05
194,CHMP2A,0.32226729616498756,Yes_efield,0.0981767653374879
195,CHMP3,0.5882319633523636,Yes_efield,0.003477675032541416
196,CHMP6,-0.40437867017630974,Yes_efield,0.03167181409926642
197,CHORDC1,-1.2846129109994602,Yes_efield,2.1968888392554744e-06
198,CHST12,-0.047247430841748206,Yes_efield,0.8216188507708334
199,CHST9,0.18920693075486916,Yes_efield,0.3141177569032655
200,CHSY1,-0.5940705293987977,Yes_efield,0.004472133380444394
201,CHTF8,-0.8139181888492523,Yes_efield,0.008059652854948583
202,CILP2,-0.04165309968540886,Yes_efield,0.8450179137977434
203,CIT,1.6964967857679796,Yes_efield,
204,CLCN5,0.4148537719663688,Yes_efield,0.035914738744148494
205,CLDN24,0.3599092565588531,Yes_efield,0.06812112912763375
206,CLEC10A,-0.2681716046608788,Yes_efield,0.14723622230318165
207,CLEC4D,0.04015033847887017,Yes_efield,0.8086645295820236
208,CLN3,-0.31665489465210944,Yes_efield,0.08082280809992914
209,CLPB,-2.6421884840075904,Yes_efield,6.224518377890511e-05
210,CLSPN,-0.3217027188428076,Yes_efield,0.079557400128518
211,CLUH,-0.6159719745569793,Yes_efield,0.0038225865803045256
212,CNPY4,0.39968963473009905,Yes_efield,0.04410693722573216
213,COA7,-0.28610296894452697,Yes_efield,0.11923394486175162
214,COBLL1,0.365852153784154,Yes_efield,0.06110719536017077
215,COL23A1,0.01562729065639462,Yes_efield,0.9098751984065233
216,COPB1,0.009656037088886701,Yes_efield,0.9361624379607746
217,COPG1,-0.06600478849580936,Yes_efield,0.7444897451059724
218,COPG2,0.5017340490819908,Yes_efield,0.012315026536586438
219,COPS4,-0.44893873862732964,Yes_efield,0.024268298710975474
220,COPS5,-0.7339997302249884,Yes_efield,0.0010178918288550364
221,COPS6,-1.0349202105658717,Yes_efield,5.126073958262774e-06
222,COPZ1,0.45431440534399087,Yes_efield,0.03269117052068096
223,COQ10B,-0.3382865665158246,Yes_efield,0.06365631870998688
224,COQ6,-0.24060968546429237,Yes_efield,0.2035461447346982
225,CORIN,-0.4327494765288277,Yes_efield,0.02004001999168844
226,CORO1C,0.47810255468059787,Yes_efield,0.016648755920157736
227,CPA2,-0.134414471377764,Yes_efield,0.4769833787051903
228,CPD,-0.44557472973638573,Yes_efield,0.015756819051420012
229,CPOX,-2.5630886270972257,Yes_efield,7.322962797518248e-07
230,CPTP,0.24849771145342373,Yes_efield,0.1931138519333537
231,CREB3L3,-0.4004575590924348,Yes_efield,0.04651033361587765
232,CRH,-0.10266540843181175,Yes_efield,0.5981564441157248
233,CRIPT,-0.29469370357648766,Yes_efield,0.1073685482409328
234,CSDE1,-2.4438923823695062,Yes_efield,7.322962797518248e-07
235,CSE1L,-0.5043191552190408,Yes_efield,0.007345663982190554
236,CSF2,-0.06421197233309944,Yes_efield,0.7500757011279193
237,CSNK1G2,-0.9342569794947028,Yes_efield,3.954399910659854e-05
238,CSPG4,-0.10860412448008515,Yes_efield,0.5711142070970494
239,CSTF2,-0.8531985071488218,Yes_efield,0.00019112932901522628
240,CSTF2T,-0.0796138153794583,Yes_efield,0.6867913889280464
241,CTC1,0.25265456149219645,Yes_efield,0.18902763869233855
242,CTDP1,0.6624592375620172,Yes_efield,0.0010911214568302189
243,CTDSPL2,-1.2918376010382853,Yes_efield,4.393777678510949e-06
244,CTTNBP2NL,0.26041320282630737,Yes_efield,0.1744036819856946
245,CWC22,0.2321640788401986,Yes_efield,0.22993297658299572
246,CYB5B,-0.19173322157517303,Yes_efield,0.30408456557438573
247,CYC1,-0.14839877103463264,Yes_efield,0.4320233163135473
248,CYP26C1,-0.4466997804206632,Yes_efield,0.014005166350253648
249,CYP46A1,-0.9258594843126798,Yes_efield,0.02060681731221635
250,CYTIP,0.15569436086525046,Yes_efield,0.4036878440648302
251,CYTL1,0.3303781704070015,Yes_efield,0.09618052567888442
252,DAAM2,0.6243390938533407,Yes_efield,0.002411451649222759
253,DAD1,-1.8589238957029932,Yes_efield,8.055259077270073e-06
254,DARS,0.6805827963142276,Yes_efield,0.0009182995348087883
255,DAXX,-0.12439345873290109,Yes_efield,0.515975226416856
256,DBR1,-3.153928484674976,Yes_efield,7.322962797518248e-07
257,DCAF13,0.23070791021736584,Yes_efield,0.22532243920567824
258,DCAF4L2,0.004771477379647264,Yes_efield,0.955692047445476
259,DCT,-0.0366263909134709,Yes_efield,0.8682646591984651
260,DCTN5,-1.5644054830412142,Yes_efield,7.322962797518248e-07
261,DCTN6,-2.1357380097290375,Yes_efield,7.322962797518248e-07
262,DCUN1D1,0.9497859380459048,Yes_efield,1.3181333035532846e-05
263,DCUN1D5,-0.43655278323814795,Yes_efield,0.01705957413309851
264,DCX,-0.03761967016163929,Yes_efield,0.8622949799259282
265,DDA1,-9.190027923440998e-05,Yes_efield,0.978810640997241
266,DDN,-0.30564127626309046,Yes_efield,0.17030282281908438
267,DDRGK1,-0.9797114286855516,Yes_efield,1.3181333035532846e-05
268,DECR1,-0.1393234903857963,Yes_efield,0.4605477210024404
269,DEPDC1,0.5788357416593987,Yes_efield,0.004737956929994306
270,DET1,0.2819369929818244,Yes_efield,0.15575575722181437
271,DFFA,-0.8013254288160878,Yes_efield,3.515022142808759e-05
272,DHPS,-0.813651050112377,Yes_efield,0.0007579266495431387
273,DHX15,-1.3255874419656173,Yes_efield,7.322962797518248e-07
274,DHX35,-0.6027053900905694,Yes_efield,0.0018717492910456642
275,DICER1,-2.3044191642902656,Yes_efield,2.416577723181022e-05
276,DIMT1,0.2947677631122305,Yes_efield,0.1331548971398338
277,DIRC1,0.058383403951844916,Yes_efield,0.7348483322867599
278,DIS3,-0.7248396323038443,Yes_efield,0.013276531551900584
279,DKC1,-0.00047778818267141254,Yes_efield,0.9808932916168552
280,DNM2,1.0739224087207193,Yes_efield,1.0984444196277371e-05
281,DNTTIP1,-0.9149854637620524,Yes_efield,0.00038299095431020436
282,DNTTIP2,0.5330951745880078,Yes_efield,0.010167201548074335
283,DOCK2,-5.4084622719722875,Yes_efield,7.322962797518248e-07
284,DOK5,-0.2919299757735398,Yes_efield,0.11052108372526441
285,DOLPP1,0.2841934109159948,Yes_efield,0.1426996468501191
286,DPH1,-2.9460798622798663,Yes_efield,7.322962797518248e-07
287,DRC7,0.15854540420941568,Yes_efield,0.397600997387533
288,DRG1,0.7211148886694673,Yes_efield,0.00045402369344613137
289,DSCR4,-0.03193453561816453,Yes_efield,0.8853579189604323
290,DUT,0.17875129831595357,Yes_efield,0.35062931711541173
291,DYNAP,-0.22932330843155224,Yes_efield,0.21740924560668
292,DYNC1H1,0.04605283505943297,Yes_efield,0.7871254991056832
293,DYNC1I2,0.14967655022389623,Yes_efield,0.42162251225223213
294,DYNLRB1,0.6526217374410402,Yes_efield,0.010842378718005518
295,DYNLT1,-0.4919828675915689,Yes_efield,0.008469006475329853
296,DYX1C1,0.11948972477980166,Yes_efield,0.5810587905760791
297,EARS2,-0.47291452712865195,Yes_efield,0.014577822041019576
298,ECT2,-0.8670160006252642,Yes_efield,7.615881309418978e-05
299,EDAR,0.4035781537074006,Yes_efield,0.041357164695264056
300,EEF1G,-0.43464174752620477,Yes_efield,0.017313680942172394
301,EFCAB1,-0.26334962314888766,Yes_efield,0.15058574548676648
302,EFNA1,0.3541540230543441,Yes_efield,0.06891054451720621
303,EFR3A,-0.4168630629062802,Yes_efield,0.040840163521759267
304,ELAC1,-0.0546533914868364,Yes_efield,0.7922698804709397
305,ELK1,0.2416108590076077,Yes_efield,0.20532855387961416
306,ELL,-0.4937956615798456,Yes_efield,0.006860883844994847
307,ELOF1,-4.707135653181692,Yes_efield,7.322962797518248e-07
308,ELOVL1,-2.762465012044281,Yes_efield,7.322962797518248e-07
309,ELSPBP1,-0.3420097363512556,Yes_efield,0.05909045140573425
310,ENY2,0.2643334721566432,Yes_efield,0.1672425566660015
311,EP400,-2.1744293835993433,Yes_efield,7.322962797518248e-07
312,EPC2,-0.8747477563746827,Yes_efield,0.0001384039968730949
313,EPHA7,0.2334403446640555,Yes_efield,0.21829898558657848
314,ERAP2,-0.24525145916467364,Yes_efield,0.1812638335344097
315,ERCC2,-1.0197976089321952,Yes_efield,0.00016330207038465694
316,ERCC3,-0.7873971156122771,Yes_efield,0.001571507816347416
317,ESF1,0.3332362799943872,Yes_efield,0.08976414567569893
318,ESPL1,-0.10364211915143338,Yes_efield,0.593644034439894
319,ETV5,-6.351455015218968,Yes_efield,7.322962797518248e-07
320,EXOC7,1.1918824905301364,Yes_efield,6.004829493964963e-05
321,FAM135A,-0.8716268223736344,Yes_efield,6.956814657642336e-05
322,FAM173A,0.453424388857177,Yes_efield,0.02840870187669229
323,FAM180A,0.007840034022017403,Yes_efield,0.945570980563026
324,FAM212B,-0.4075670306881492,Yes_efield,0.04209385475269439
325,FAM3C,-0.2901147523267888,Yes_efield,0.11151188059176863
326,FAM43B,-0.06816492463059813,Yes_efield,0.7330900889190758
327,FAM46A,-0.0691017063977354,Yes_efield,0.7275173142301644
328,FAM47E,0.6885309434975819,Yes_efield,0.001416993301319781
329,FAM69B,0.5634193856482755,Yes_efield,0.006273582228633883
330,FAM76A,0.462352639109415,Yes_efield,0.020488917611176306
331,FAM83A,0.5025962538517207,Yes_efield,0.022122670611302627
