gene,gene_description
ACTG1,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]
SQSTM1,sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]
GLO1,glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]
MYC,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"
HMGB2,high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]
SORL1,sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]
SLC2A3,solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]
PTPRE,"protein tyrosine phosphatase, receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]"
ETNK1,ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]
TFRC,transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]
ITGAX,integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]
TXNRD1,thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]
OGFRL1,opioid growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21378]
NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]
GM2A,GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]
SLC7A1,solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]
HSD17B4,hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]
M6PR,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"
TGFBR1,transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]
CHI3L1,chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]
EDEM1,ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]
PADI4,peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368]
CTSB,cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
PTPN7,"protein tyrosine phosphatase, non-receptor type 7 [Source:HGNC Symbol;Acc:HGNC:9659]"
TPM4,tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]
TRIB1,tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]
PPIF,peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]
FPR2,formyl peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:3827]
PM20D2,peptidase M20 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21408]
LNPK,"lunapark, ER junction formation factor [Source:HGNC Symbol;Acc:HGNC:21610]"
SGK1,serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]
LILRA2,leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]
ADGRE2,adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]
NEU1,neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]
EVL,Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]
ASAH1,N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]
SLC20A1,solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]
BHLHE40,basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]
VAC14,"Vac14, PIKFYVE complex component [Source:HGNC Symbol;Acc:HGNC:25507]"
GSTM4,glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]
CYP17A1,cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]
NRP1,neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]
RASAL1,RAS protein activator like 1 [Source:HGNC Symbol;Acc:HGNC:9873]
SLC7A11,solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]
MEGF9,multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]
PECAM1,platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]
SESN3,sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]
LAMTOR1,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]"
MATK,megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]
GATA2,GATA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4171]
EGR1,early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]
PLXNA1,plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]
IL18R1,interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]
SPRY4,sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533]
STEAP4,STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923]
PLAU,"plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]"
NQO1,NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]
PHC1,polyhomeotic homolog 1 [Source:HGNC Symbol;Acc:HGNC:3182]
EHD4,EH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:3245]
ANKRD50,ankyrin repeat domain 50 [Source:HGNC Symbol;Acc:HGNC:29223]
FGD4,"FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]"
CD83,CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]
CES1,carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]
IER3,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
TGM5,transglutaminase 5 [Source:HGNC Symbol;Acc:HGNC:11781]
CDKN1A,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]
SPP1,secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]
RIPOR2,RHO family interacting cell polarization regulator 2 [Source:HGNC Symbol;Acc:HGNC:13872]
CRISPLD2,cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]
MARCKSL1,MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]
SLC4A8,solute carrier family 4 member 8 [Source:HGNC Symbol;Acc:HGNC:11034]
